epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,-5834.8,1.10769,0.59181,1.66888,0.99108,0.9921,0.99416,0.67992,1.06055,0.44171,1.45364,0.00999392,0.00333131,0.00999392,0.00333131,0.00999392,0.00333131,0.00999392,0.00333131
2,-5295.34,1.03069,0.46563,1.56613,0.89096,0.73807,0.80303,0.46054,1.65295,0.79029,1.93544,0.019796,0.00659866,0.019796,0.00659866,0.019796,0.00659866,0.019796,0.00659866
3,-4775.81,1.03222,0.47347,1.56883,0.98101,0.98315,0.99122,0.60861,1.3014,0.50041,1.67669,0.0294,0.00980001,0.0294,0.00980001,0.0294,0.00980001,0.0294,0.00980001
4,-4265.43,0.99517,0.4457,1.53138,0.99084,0.99509,0.99351,0.66944,1.11502,0.43237,1.49376,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,-3757.92,0.9458,0.40575,1.47973,0.99113,0.99199,0.99288,0.58379,1.35749,0.46526,1.72946,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,-3249.83,0.92076,0.38944,1.45743,0.99632,0.99572,0.99415,0.64893,1.18748,0.40574,1.54203,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,-2741.4,0.89635,0.37015,1.43687,0.99618,0.99737,0.99408,0.67037,1.13626,0.39136,1.49459,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,-2232.5,0.88276,0.3564,1.42213,0.98966,0.99654,0.99323,0.67653,1.10486,0.37166,1.4632,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,-1723.53,0.87436,0.34901,1.41076,0.99695,0.99745,0.99446,0.67935,1.09249,0.36103,1.4627,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,-1215.48,0.85949,0.34232,1.40024,0.99658,0.99727,0.99423,0.70444,1.02791,0.34634,1.40679,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,-705.808,0.84939,0.33361,1.39146,0.99872,0.99871,0.9946,0.70053,1.02211,0.33639,1.41354,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,-198.403,0.84299,0.32767,1.38188,0.99882,0.9986,0.99434,0.70309,1.02538,0.32747,1.39689,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,308.382,0.83371,0.32715,1.37427,0.99853,0.99918,0.99429,0.72541,0.95166,0.30454,1.33648,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,817.568,0.82433,0.32006,1.36631,0.99918,0.99913,0.99446,0.7344,0.9281,0.30096,1.32219,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1325.5,0.81506,0.31457,1.35964,0.99909,0.99877,0.99487,0.73093,0.94289,0.30621,1.33758,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1833.42,0.81439,0.31579,1.35584,0.99936,0.99888,0.99469,0.73676,0.92305,0.29948,1.31723,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2342.85,0.80574,0.30845,1.35011,0.99872,0.99936,0.99455,0.74044,0.914,0.29126,1.30834,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2850.97,0.80155,0.30787,1.34573,0.99854,0.99851,0.99412,0.69623,1.04984,0.31258,1.41388,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3358.57,0.79404,0.3038,1.33719,0.99952,0.99936,0.99466,0.73842,0.92315,0.28809,1.31926,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3865.32,0.78656,0.30128,1.33262,0.99899,0.99909,0.99457,0.73906,0.92007,0.28439,1.32284,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4372.43,0.78006,0.29687,1.32711,0.99952,0.99964,0.99497,0.74707,0.89239,0.27315,1.29213,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4881.17,0.77301,0.2938,1.31962,0.99922,0.99927,0.99471,0.73255,0.94326,0.28667,1.33482,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5388.01,0.77283,0.29593,1.31968,0.99954,0.99926,0.99468,0.73545,0.93553,0.28389,1.3314,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5894.96,0.76286,0.29054,1.30954,0.99927,0.99938,0.99482,0.73957,0.91943,0.28004,1.3151,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6402.03,0.76058,0.28557,1.30525,0.99944,0.99954,0.99493,0.74139,0.91285,0.27871,1.30957,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6909.06,0.7524,0.28387,1.29971,0.99981,0.99973,0.99495,0.73968,0.92099,0.27541,1.31778,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7416.49,0.75129,0.28515,1.29918,0.99998,0.99973,0.995,0.74424,0.91013,0.27235,1.30717,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7924.55,0.74349,0.27936,1.2893,0.99972,0.99954,0.99495,0.74301,0.91334,0.27162,1.31274,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8431.72,0.73654,0.27703,1.28247,0.9998,0.99964,0.99493,0.74961,0.90032,0.26615,1.30213,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8939.34,0.73006,0.27545,1.27633,0.99991,0.9996,0.99499,0.75171,0.89463,0.26611,1.29645,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9447.39,0.72836,0.27422,1.27335,0.99981,0.99973,0.99499,0.75326,0.89216,0.26584,1.29192,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9955.93,0.72395,0.27268,1.26721,0.99971,0.99973,0.99499,0.75386,0.88779,0.2642,1.2913,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10463.6,0.71301,0.27034,1.26256,0.99973,0.9997,0.99498,0.76055,0.8689,0.25978,1.28101,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10971.6,0.70863,0.26738,1.25662,0.99977,0.99954,0.99491,0.76209,0.86233,0.258,1.27506,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11479.5,0.70342,0.26767,1.25291,0.99991,0.99981,0.995,0.76105,0.86488,0.25882,1.27579,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11986.6,0.69934,0.26414,1.24678,0.99991,0.99981,0.995,0.7613,0.86542,0.25821,1.27662,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12493.8,0.69403,0.26161,1.24237,0.99991,0.99981,0.995,0.75971,0.86825,0.25799,1.28009,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13001.7,0.68499,0.25957,1.23343,0.99991,0.99981,0.995,0.76038,0.86624,0.25752,1.27902,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13508.8,0.68028,0.25615,1.22969,0.99991,0.99981,0.995,0.76089,0.86391,0.25659,1.27757,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14016,0.6745,0.25394,1.2233,0.99991,0.99981,0.995,0.76126,0.8644,0.25627,1.27815,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14522.8,0.66552,0.2524,1.2147,0.99998,0.99973,0.995,0.76036,0.86368,0.25618,1.27791,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15029.7,0.66422,0.25049,1.21268,0.99998,0.99973,0.995,0.76201,0.86298,0.2557,1.27783,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15538.6,0.66249,0.25208,1.21108,0.99998,0.99973,0.995,0.76252,0.86136,0.2553,1.27722,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16046,0.64902,0.24603,1.19817,0.99999,0.99973,0.995,0.76268,0.85966,0.25523,1.27649,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16554.5,0.65045,0.24775,1.19756,0.99998,0.99973,0.995,0.76276,0.85932,0.25491,1.27709,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,17063.2,0.64017,0.24473,1.19101,0.99999,0.99973,0.995,0.76272,0.85787,0.25453,1.2766,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,17570.4,0.63713,0.2436,1.18941,0.99999,0.99973,0.995,0.76422,0.85757,0.25427,1.27702,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,18078.3,0.63128,0.24151,1.18302,1,0.99981,0.995,0.76414,0.85694,0.25443,1.2767,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,18585.1,0.62622,0.23947,1.17845,1,0.99981,0.995,0.76471,0.85577,0.25396,1.27642,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19092.9,0.61698,0.236,1.17034,1,0.99981,0.995,0.76397,0.85499,0.25346,1.27662,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,19601.5,0.61612,0.23657,1.16764,1,0.99981,0.995,0.76456,0.85506,0.25317,1.27771,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20108.5,0.60724,0.23296,1.15972,1,0.99982,0.995,0.765,0.85473,0.25265,1.27819,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,20617.7,0.60383,0.23068,1.15655,1,0.99982,0.995,0.76517,0.85356,0.25226,1.27849,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21125.3,0.59865,0.23031,1.15213,1,0.99982,0.995,0.76531,0.85308,0.25187,1.27935,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21633.4,0.59339,0.22882,1.14674,0.99999,0.99982,0.995,0.76525,0.85262,0.25165,1.28019,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22141,0.58655,0.2258,1.14068,0.99999,0.99982,0.995,0.76512,0.85247,0.25161,1.28109,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22648.2,0.58349,0.22645,1.13766,0.99999,0.99982,0.995,0.76517,0.85203,0.25098,1.28179,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23155.4,0.57674,0.22442,1.13188,0.99999,0.99982,0.995,0.76522,0.85133,0.25091,1.28258,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23662.4,0.57141,0.22018,1.12628,0.99999,0.99982,0.995,0.7653,0.85084,0.2504,1.28334,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,24169.8,0.56674,0.21958,1.11961,0.99999,0.99982,0.995,0.76511,0.85067,0.25062,1.28425,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24678,0.56347,0.21918,1.12019,0.99999,0.99982,0.995,0.76553,0.85114,0.25059,1.2859,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,25186.4,0.55613,0.21528,1.11124,0.99999,0.99982,0.995,0.7655,0.85107,0.25059,1.28692,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25693.5,0.54908,0.21405,1.10808,0.99999,0.99982,0.995,0.76548,0.85106,0.25072,1.28834,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26200.9,0.54598,0.21292,1.10426,0.99999,0.99982,0.995,0.76549,0.85107,0.25054,1.28964,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,26708.1,0.5406,0.21169,1.10092,0.99999,0.99982,0.995,0.7655,0.85039,0.25009,1.29022,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27215,0.53556,0.21015,1.09474,0.99999,0.99982,0.995,0.76653,0.84961,0.24985,1.29065,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,27723,0.52862,0.20743,1.08736,0.99999,0.99982,0.995,0.7657,0.84963,0.24986,1.29189,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28229.8,0.52496,0.20543,1.08436,0.99999,0.99982,0.995,0.76561,0.84965,0.24963,1.29321,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,28737.4,0.52089,0.20289,1.07919,0.99999,0.99982,0.995,0.76674,0.84872,0.24923,1.29366,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29245.5,0.51578,0.20273,1.07455,0.99999,0.99982,0.995,0.76668,0.84876,0.24923,1.29474,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29752.9,0.5132,0.20167,1.07525,0.99999,0.99982,0.995,0.76659,0.84869,0.24918,1.29581,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30261.2,0.50762,0.20009,1.06926,0.99999,0.99982,0.995,0.76642,0.84895,0.24925,1.29708,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30768.1,0.50114,0.19926,1.06335,0.9999,0.99973,0.995,0.7665,0.84946,0.24928,1.29879,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31275,0.4952,0.19556,1.05657,0.9999,0.99973,0.995,0.76639,0.84985,0.24957,1.30045,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31783,0.49077,0.19493,1.05497,0.9999,0.99973,0.995,0.7664,0.84974,0.24928,1.30161,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32289.8,0.48611,0.19317,1.04956,0.9999,0.99973,0.995,0.76637,0.8502,0.2496,1.30362,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32797.9,0.4797,0.19142,1.04495,0.9999,0.99973,0.995,0.76609,0.85024,0.24939,1.30536,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33305.4,0.47284,0.18822,1.04045,0.99991,0.99971,0.995,0.76512,0.84998,0.24918,1.30672,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
